"City/Community","12+ with 1+ Dose","Population (12+)","12+ Pop. Vaccinated (%)"
"City of Agoura Hills","15,212","18,920","80.4%"
"City of Alhambra","64,216","76,362","84.1%"
"City of Arcadia","45,160","53,504","84.4%"
"City of Artesia","12,420","15,043","82.6%"
"City of Avalon","760","3,266","23.3%"
"City of Azusa","30,563","43,954","69.5%"
"City of Baldwin Park","52,303","65,069","80.4%"
"City of Bell","22,024","30,235","72.8%"
"City of Bell Gardens","25,694","35,056","73.3%"
"City of Bellflower","48,434","65,994","73.4%"
"City of Beverly Hills","27,104","31,578","85.8%"
"City of Bradbury","660","979","67.4%"
"City of Burbank","75,241","93,794","80.2%"
"City of Calabasas","17,916","21,901","81.8%"
"City of Carson","67,473","81,850","82.4%"
"City of Cerritos","40,411","46,721","86.5%"
"City of Claremont","24,027","33,721","71.3%"
"City of Commerce","10,256","10,917","93.9%"
"City of Compton","55,860","80,305","69.6%"
"City of Covina","34,214","42,217","81.0%"
"City of Cudahy","14,625","19,865","73.6%"
"City of Culver City","32,601","35,395","92.1%"
"City of Diamond Bar","42,949","51,968","82.6%"
"City of Downey","77,588","97,261","79.8%"
"City of Duarte","15,638","19,209","81.4%"
"City of El Monte","77,195","98,853","78.1%"
"City of El Segundo","14,059","15,096","93.1%"
"City of Gardena","42,023","52,660","79.8%"
"City of Glendale","124,795","184,755","67.5%"
"City of Glendora","35,271","46,407","76.0%"
"City of Hawaiian Gardens","8,840","12,077","73.2%"
"City of Hawthorne","53,882","72,950","73.9%"
"City of Hermosa Beach","14,988","17,571","85.3%"
"City of Hidden Hills","1,329","1,758","75.6%"
"City of Huntington Park","35,733","49,109","72.8%"
"City of Industry","--","415","--"
"City of Inglewood","68,309","95,382","71.6%"
"City of Irwindale","1,325","1,332","99.5%"
"City of La Canada Flintridge","16,364","19,192","85.3%"
"City of La Habra Heights","3,548","5,097","69.6%"
"City of La Mirada","32,538","43,990","74.0%"
"City of La Puente","26,810","34,490","77.7%"
"City of La Verne","21,318","30,097","70.8%"
"City of Lakewood","55,260","70,616","78.3%"
"City of Lancaster","84,815","134,419","63.1%"
"City of Lawndale","21,731","28,284","76.8%"
"City of Lomita","13,521","17,918","75.5%"
"City of Long Beach","300,966","404,580","74.4%"
"City of Lynwood","42,114","58,354","72.2%"
"City of Malibu","7,458","11,447","65.2%"
"City of Manhattan Beach","28,035","31,855","88.0%"
"City of Maywood","16,459","22,856","72.0%"
"City of Monrovia","26,205","32,973","79.5%"
"City of Montebello","42,808","55,095","77.7%"
"City of Monterey Park","50,048","55,132","90.8%"
"City of Norwalk","70,429","90,824","77.5%"
"City of Palmdale","94,921","131,811","72.0%"
"City of Palos Verdes Estates","10,476","12,635","82.9%"
"City of Paramount","33,490","45,813","73.1%"
"City of Pasadena","106,176","126,923","83.7%"
"City of Pico Rivera","44,183","54,715","80.8%"
"City of Pomona","93,679","128,928","72.7%"
"City of Rancho Palos Verdes","32,568","39,438","82.6%"
"City of Redondo Beach","50,420","58,665","85.9%"
"City of Rolling Hills","1,349","1,819","74.2%"
"City of Rolling Hills Estates","6,880","7,702","89.3%"
"City of Rosemead","41,404","48,554","85.3%"
"City of San Dimas","22,789","31,193","73.1%"
"City of San Fernando","16,410","20,965","78.3%"
"City of San Gabriel","32,402","36,321","89.2%"
"City of San Marino","10,630","12,278","86.6%"
"City of Santa Clarita","150,644","188,565","79.9%"
"City of Santa Fe Springs","12,518","15,903","78.7%"
"City of Santa Monica","73,112","84,349","86.7%"
"City of Sierra Madre","8,473","10,002","84.7%"
"City of Signal Hill","7,937","9,907","80.1%"
"City of South El Monte","14,030","17,745","79.1%"
"City of South Gate","62,508","80,283","77.9%"
"City of South Pasadena","20,622","23,381","88.2%"
"City of Temple City","28,448","33,037","86.1%"
"City of Torrance","110,341","131,421","84.0%"
"City of Vernon","--","250","--"
"City of Walnut","23,562","28,130","83.8%"
"City of West Covina","77,332","93,958","82.3%"
"City of West Hollywood","28,145","34,698","81.1%"
"City of Westlake Village","6,160","7,749","79.5%"
"City of Whittier","57,320","75,214","76.2%"
"Los Angeles - Adams-Normandie","5,040","6,926","72.8%"
"Los Angeles - Alsace","7,238","10,281","70.4%"
